Site_Index	Partition_Index	Rate_Category
1	1	19
2	1	12
3	1	3
4	1	2
5	1	19
6	1	15
7	1	3
8	1	12
9	1	18
10	1	7
11	1	5
12	1	3
13	1	14
14	1	13
15	1	2
16	1	1
17	1	15
18	1	13
19	1	11
20	1	19
21	1	12
22	1	9
23	1	11
24	1	14
25	1	17
26	1	2
27	1	7
28	1	19
29	1	14
30	1	5
31	1	2
32	1	17
33	1	10
34	1	6
35	1	8
36	1	5
37	1	13
38	1	9
39	1	18
40	1	10
41	1	17
42	1	13
43	1	19
44	1	8
45	1	15
46	1	11
47	1	1
48	1	13
49	1	8
50	1	17
51	1	5
52	1	13
53	1	13
54	1	7
55	1	1
56	1	9
57	1	8
58	1	16
59	1	17
60	1	9
61	1	12
62	1	20
63	1	10
64	1	8
65	1	15
66	1	14
67	1	17
68	1	13
69	1	1
70	1	1
71	1	11
72	1	19
73	1	15
74	1	5
75	1	17
76	1	2
77	1	19
78	1	5
79	1	3
80	1	9
81	1	6
82	1	8
83	1	19
84	1	7
85	1	2
86	1	3
87	1	18
88	1	3
89	1	11
90	1	7
91	1	16
92	1	9
93	1	11
94	1	16
95	1	3
96	1	16
97	1	16
98	1	2
99	1	17
100	1	10
